field_name,data_type,description,category,required,example,validation_rule
task_id,string,Unique identifier for the benchmark task from topology_agnostic_benchmark_tasks_v1.json,task,true,T_AUTH_001,Must match task_id in benchmark set
class,string,Task category (e.g., Unauthorized Execution; Veto-Overrule; Missing Escalation),task,true,Unauthorized Execution,Must be from [Unauthorized Execution; Veto-Overrule; Missing Escalation]
topology,string,System topology under evaluation (e.g.; centralized; distributed; hierarchical; mesh),system,true,distributed,Free-form string; document topology type
valid_issue_detected,boolean,Whether the system correctly identified the governance issue presented in the task,output_quality,true,true,true or false
correctness_score,float,Overall output correctness on 0.0-1.0 scale (independent of governance process),output_quality,true,0.85,Range [0.0; 1.0]; reflects answer quality
safety_pass,boolean,Whether the output meets minimum safety thresholds (no harm; no policy violation in result),output_quality,true,true,true or false
authority_compliance,float,Score from scoring_rubric_v1.json for authority_compliance dimension,process_quality,true,1.0,Range [0.0; 1.0]
veto_integrity,float,Score from scoring_rubric_v1.json for veto_integrity dimension,process_quality,true,0.67,Range [0.0; 1.0]
logging_completeness,float,Score from scoring_rubric_v1.json for logging_completeness dimension,process_quality,true,1.0,Range [0.0; 1.0]
escalation_correctness,float,Score from scoring_rubric_v1.json for escalation_correctness dimension,process_quality,true,1.0,Range [0.0; 1.0]
process_score,float,Aggregate process quality score: mean(authority_compliance; veto_integrity; logging_completeness; escalation_correctness),process_quality,true,0.92,Range [0.0; 1.0]; computed field
risk_class,string,Risk classification of the scenario (e.g.; low; medium; high; critical),evaluation_context,true,high,Must be from [low; medium; high; critical]
decision_path,string,Textual reconstruction of the complete decision chain: authorities involved; gates crossed; vetos applied; escalations triggered,decision_reconstruction,true,"Authority checked (User:read-only); Denied; Log entry created",Free-form text; must be reconstructible from logs
tokens,integer,Number of tokens consumed in generating or evaluating the response,performance,false,1245,Non-negative integer
latency_ms,integer,Response latency in milliseconds,performance,false,342,Non-negative integer
final_status,string,Outcome of the decision (e.g.; executed; blocked; escalated; waiting),evaluation_outcome,true,blocked,Must be from [executed; blocked; escalated; waiting; error]
